id,tc_e_a,tc_pv_a,tc_land_a,tc_pi_a,tc_p_a,tc_e_p,tc_pv_p,tc_p_p,tc_pi_p,name1,tc_e_f,tc_p_f,tc_pi_f,tc_pv_f
142,53631.0357,624.367738,390046.8319,77453.8944,78078.26213,13.7498965,0.16007507,20.01766346,19.85758839,Block Group 142,0.137498965,0.200176635,0.198575884,0.001600751
143,65806.20659,871.961841,360012.5907,79434.64722,80306.60906,18.27886254,0.242203152,22.30661125,22.0644081,Block Group 143,0.182788625,0.223066113,0.220644081,0.002422032
144,122548.316,1054.966178,477469.0802,80381.96379,81436.92997,25.66623078,0.220949633,17.05595888,16.83500924,Block Group 144,0.256662308,0.170559589,0.168350092,0.002209496
145,92126.53624,1797.748487,574891.9772,110007.1365,111804.8849,16.02501685,0.312710658,19.44798142,19.13527077,Block Group 145,0.160250169,0.194479814,0.191352708,0.003127107
146,65106.48413,7578.532544,530454.2182,121439.525,129018.0576,12.27372352,1.428687393,24.32218524,22.89349785,Block Group 146,0.122737235,0.243221852,0.228934979,0.014286874
147,91674.40788,807.372075,595388.463,123743.2267,124550.5988,15.39741086,0.135604253,20.91921603,20.78361177,Block Group 147,0.153974109,0.20919216,0.207836118,0.001356043
148,85829.03405,1883.868175,461138.6344,75483.90653,77367.77471,18.6124145,0.40852534,16.77755212,16.36902678,Block Group 148,0.186124145,0.167775521,0.163690268,0.004085253
149,119232.708,17450.00178,503563.3457,81975.17802,99425.1798,23.67779726,3.465304203,19.74432426,16.27902005,Block Group 149,0.236777973,0.197443243,0.162790201,0.034653042
150,49809.47455,1625.509111,477081.5416,93988.87449,95614.3836,10.44045309,0.340719347,20.04151812,19.70079877,Block Group 150,0.104404531,0.200415181,0.197007988,0.003407193
151,55396.48931,2895.774509,290632.4171,52306.9455,55202.72001,19.06067116,0.996370101,18.99399956,17.99762945,Block Group 151,0.190606712,0.189939996,0.179976295,0.009963701
152,101459.7574,29732.82228,376504.511,49798.70959,79531.53187,26.94781987,7.897069335,21.12365976,13.22659042,Block Group 152,0.269478199,0.211236598,0.132265904,0.078970693
153,181970.9007,2034.577629,730208.8346,129136.4722,131171.0498,24.92039156,0.278629555,17.96349805,17.6848685,Block Group 153,0.249203916,0.179634981,0.176848685,0.002786296
154,424279.4079,2519.000874,907206.3233,99382.11995,101901.1208,46.76768636,0.277665709,11.23240857,10.95474286,Block Group 154,0.467676864,0.112324086,0.109547429,0.002776657
155,220111.1576,2088.402434,542844.6883,83923.63596,86012.03839,40.54772245,0.384714538,15.84468638,15.45997184,Block Group 155,0.405477225,0.158446864,0.154599718,0.003847145
156,162389.4367,2691.24025,446616.702,58765.9221,61457.16235,36.3599113,0.60258388,13.76060548,13.1580216,Block Group 156,0.363599113,0.137606055,0.131580216,0.006025839
157,350894.6688,7158.699065,800245.6708,90231.9031,97390.60217,43.84836826,0.894562673,12.17008798,11.2755253,Block Group 157,0.438483683,0.12170088,0.112755253,0.008945627
158,154186.5364,4639.698191,340237.3574,34910.76852,39550.46671,45.31734481,1.363665127,11.62437512,10.26070999,Block Group 158,0.453173448,0.116243751,0.1026071,0.013636651
